TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24059001000436',FL-I-22449,244024,03/01/2024,,SENDA DE LOS OLIVOS,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000440',CA-I-21327,24PNPN,03/01/2024,,NGA WAKA,84,NEW ZEALAND,80,TABLE RED WINE
'24059001000442',MI-I-21082,240305,03/06/2024,,CHATEAU PETIT BOYER,51,FRANCE,80,TABLE RED WINE
'24059001000444',FL-I-22449,244024,03/01/2024,,IRACHE,52,SPAIN,81,TABLE WHITE WINE
'24059001000447',BWN-OR-21253,240002,03/01/2024,SANT'AMBROGIO,BUONA NOTTE,38,OREGON,80,TABLE RED WINE
'24059001000448',MI-I-21082,240304,03/01/2024,LE CORBEAU ET LE RENARD,CHATEAU PETIT BOYER,51,FRANCE,80,TABLE RED WINE
'24059001000449',NY-I-1039,240068,03/01/2024,,L'OCEADE,51,FRANCE,81,TABLE WHITE WINE
'24059001000450',CA-I-4897,24KA22,03/01/2024,,KALAMITY,52,SPAIN,81,TABLE WHITE WINE
'24059001000451',FL-I-22489,240011,03/01/2024,RESERVA,JEAN LEON,52,SPAIN,80,TABLE RED WINE
'24059001000452',FL-I-22449,245024,03/03/2024,,IRACHE,52,SPAIN,80,TABLE RED WINE
'24059001000453',NY-I-15465,24PAVI,03/01/2024,,PAVIE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000457',BWN-WA-21167,24ASKY,03/01/2024,,FROM THE SKY DOWN,07,WASHINGTON,80,TABLE RED WINE
'24059001000458',CA-I-3896,24JPSI,03/01/2024,SHONAI BIJIN HIYAOROSHI,DEWANOYUKI,59,JAPAN,981,SAKE - IMPORTED
'24059001000459',DSP-KY-20037,240029,03/06/2024,DANGEROUS,FOUR GATE,22,KENTUCKY,641,WHISKY SPECIALTIES
'24059001000462',FL-I-22449,246024,03/01/2024,,FUENTE DE IRACHE,52,SPAIN,80,TABLE RED WINE
'24059001000477',FL-I-22449,247024,03/01/2024,,PAGO DE CIRSUS,52,SPAIN,80A,ROSE WINE
'24059001000478',WI-I-479,240005,03/01/2024,CUVEE JULIETTE,DOMINIQUE GRUHIER,51,FRANCE,80,TABLE RED WINE
'24059001000482',BWN-WA-21779,240001,03/01/2024,BY THE HORNS,DOVETAIL CELLARS,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000491',BWN-WA-21779,240002,03/01/2024,TUSC,DOVETAIL CELLARS,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000493',DSP-NJ-21022,240002,03/05/2024,,HIBERNAL FLAME,03,NEW JERSEY,439,RUM OTHER FLAVORED
'24059001000496',WI-I-479,240006,03/01/2024,,DOMINIQUE GRUHIER,51,FRANCE,81,TABLE WHITE WINE
'24059001000514',BWN-CA-23057,2422CS,03/01/2024,,PALMERO FAMILY VINEYARD,01,CALIFORNIA,80,TABLE RED WINE
'24059001000524',WI-I-479,240007,03/01/2024,,DOMINIQUE GRUHIER,51,FRANCE,80,TABLE RED WINE
'24059001000543',FL-I-21310,242495,03/01/2024,FINCA LA MONTESA,PALACIOS REMONDO,52,SPAIN,80,TABLE RED WINE
'24059001000547',CA-I-21752,240594,03/01/2024,MOSAICO,DOS BUHOS,81,MEXICO,80,TABLE RED WINE
'24059001000548',FL-I-21310,242496,03/01/2024,PLACET DE VALTOMELLOSO,PALACIOS REMONDO,52,SPAIN,81,TABLE WHITE WINE
'24059001000550',FL-I-21310,242497,03/01/2024,VINAS NIEJAS DE LA PROPIEDAD,PALACIOS REMONDO,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24059001000552',WA-I-15224,240001,03/01/2024,,GHIACCIO FORTE,50,ITALY,80,TABLE RED WINE
'24059001000553',BWN-NC-15080,24FULC,03/01/2024,,GRANDFATHER VINEYARD AND WINERY LLC,02,NEW YORK,81,TABLE WHITE WINE
'24059001000557',BWN-NC-15080,24MERL,03/01/2024,,GRANDFATHER VINEYARD AND WINERY LLC,00,AMERICAN,80,TABLE RED WINE
'24059001000562',CA-I-21752,240595,03/01/2024,1524 MOSAICO BLANCO,DOS BUHOS,81,MEXICO,81,TABLE WHITE WINE
'24059001000566',DSP-KY-20134,242021,03/05/2024,CIGAR BATCH,GOOD OLD TIMES,22,KENTUCKY,641,WHISKY SPECIALTIES
'24059001000568',NY-I-21137,244538,03/01/2024,,COPPIERE,50,ITALY,80,TABLE RED WINE
'24059001000571',BWN-NC-15080,24VAPG,03/01/2024,,GRANDFATHER VINEYARD & WINERY LLC,00,AMERICAN,81,TABLE WHITE WINE
'24059001000584',DSP-FL-20097,241070,03/05/2024,,BIG STORM DISTILLERY,16,FLORIDA,339,VODKA - OTHER FLAVORED
